ewtb.r.384229.2:9	with	ProfessionalAspect	I was with verizon and I checked my service |with| tmobile and it was great so I thought I would try tmobile .
ewtb.r.384229.3:13	with	Stimulus	It turned out being very good quality tmobile service and I was happy |with| the new tmobile phone .
ewtb.r.385281.2:15	like	Comparison/Contrast	I 'm 22 , and my hairdresser was great ( and not " old " |like| one of the reviews says ) - she really listened to what I wanted and gave me tons of tips on how to style my hair so I could get it to look the way I wanted it to .
ewtb.r.385281.2:17	of	Superset	I 'm 22 , and my hairdresser was great ( and not " old " like one |of| the reviews says ) - she really listened to what I wanted and gave me tons of tips on how to style my hair so I could get it to look the way I wanted it to .
ewtb.r.385281.2:26	to	Stimulus	I 'm 22 , and my hairdresser was great ( and not " old " like one of the reviews says ) - she really listened |to| what I wanted and gave me tons of tips on how to style my hair so I could get it to look the way I wanted it to .
ewtb.r.385281.2:34	of	Quantity	I 'm 22 , and my hairdresser was great ( and not " old " like one of the reviews says ) - she really listened to what I wanted and gave me tons |of| tips on how to style my hair so I could get it to look the way I wanted it to .
ewtb.r.385281.2:36	on	Topic	I 'm 22 , and my hairdresser was great ( and not " old " like one of the reviews says ) - she really listened to what I wanted and gave me tons of tips |on| how to style my hair so I could get it to look the way I wanted it to .
ewtb.r.385281.4:9	to	Purpose	She recommended products but absolutely did n't pressure me |to| buy .
ewtb.r.385281.5:5	with	Attribute	It 's a cute place |with| a really friendly , laid - back atmosphere .
ewtb.r.385281.6:10	for	Purpose	I would highly recommend it and will be going back |for| my next haircut .
ewtb.r.385281.6:9	back	Direction	I would highly recommend it and will be going |back| for my next haircut .
ewtb.r.385281.8:10	with	Co-Agent	And students get $ 5 off , ca n't argue |with| that .
ewtb.r.385436.1:16	from	InitialLocation	This is the best Mediterranean Restaurant in the West Valley , I have friend who drive |from| central Phx to come here .
ewtb.r.385436.1:19	to	Purpose	This is the best Mediterranean Restaurant in the West Valley , I have friend who drive from central Phx |to| come here .
ewtb.r.385436.1:6	in	Location	This is the best Mediterranean Restaurant |in| the West Valley , I have friend who drive from central Phx to come here .
ewtb.r.388799.2:5	at	Location	My girlfriend and I ate |at| The Grill last night , and our experience was amazing .
ewtb.r.388799.3:5	to	EndState	Everything we ordered was prepared |to| perfection , and was presented perfectly .
ewtb.r.388799.6:5	with	Topic	I will sum it up |with| , it was worth every penny !
ewtb.r.389136.5:0	By	Donor/Speaker	|By| samantha Fox
ewtb.r.389298.2:11	out	Location	The door is easy to use and it keeps the cold |out| during the winter .
ewtb.r.389298.2:12	during	Duration	The door is easy to use and it keeps the cold out |during| the winter .
ewtb.r.389298.4:5	to	Recipient	I highly recommend Garage Pros |to| my friends .
ewtb.r.389498.1:14	on	Patient	This place has done a great job of taking care of the usual maintenance |on| my hooptie .
ewtb.r.389498.1:7	of	Theme	This place has done a great job |of| taking care of the usual maintenance on my hooptie .
ewtb.r.389498.2:7	for	Purpose	I also never have to wait long |for| a yearly inspection sticker ... and never get the usual excuses other shops always gave me ... " the inspection guy is n't here today " .... for example .
ewtb.r.389498.3:11	in front of	Location	Today I went into Kwik Kar and there were two cars |in| |front| |of| me for inspection ... but I was still out of there pretty quick ... barely had time to read a chapter in my book .
ewtb.r.389498.3:15	for	Purpose	Today I went into Kwik Kar and there were two cars in front of me |for| inspection ... but I was still out of there pretty quick ... barely had time to read a chapter in my book .
ewtb.r.389498.3:22	out of	InitialLocation	Today I went into Kwik Kar and there were two cars in front of me for inspection ... but I was still |out| |of| there pretty quick ... barely had time to read a chapter in my book .
ewtb.r.389498.3:3	into	Destination	Today I went |into| Kwik Kar and there were two cars in front of me for inspection ... but I was still out of there pretty quick ... barely had time to read a chapter in my book .
ewtb.r.389498.3:35	in	Locus	Today I went into Kwik Kar and there were two cars in front of me for inspection ... but I was still out of there pretty quick ... barely had time to read a chapter |in| my book .
ewtb.r.391012.1:2	for	Theme	Watch out |for| your wallet
ewtb.r.391012.2:2	for	Theme	Watch out |for| your wallet !
ewtb.r.391012.3:4	for	Scalar/Rank	This company is overpriced |for| their services .
ewtb.r.391012.4:11	for	Beneficiary	They pride themselves on being an event and team building company |for| corporate clients but you better believe they are going to mark you up on that feel good premise .
ewtb.r.391012.4:25	on	Topic	They pride themselves on being an event and team building company for corporate clients but you better believe they are going to mark you up |on| that feel good premise .
ewtb.r.391012.5:0	On	Locus	|On| a recent event quote that I had done , they came in thousands of dollars over their local competition .
ewtb.r.391012.5:14	of	Superset	On a recent event quote that I had done , they came in thousands |of| dollars over their local competition .
ewtb.r.391012.5:16	over	Approximator	On a recent event quote that I had done , they came in thousands of dollars |over| their local competition .
ewtb.r.391012.6:11	at	Location	The craziest part is that they are n't even based locally |at| the city I 'm in - they just have ' teams ' in areas through the country .
ewtb.r.391012.6:16	in	Location	The craziest part is that they are n't even based locally at the city I 'm |in| - they just have ' teams ' in areas through the country .
ewtb.r.391012.6:24	in	Location	The craziest part is that they are n't even based locally at the city I 'm in - they just have ' teams ' |in| areas through the country .
ewtb.r.391012.6:26	through	1DTrajectory	The craziest part is that they are n't even based locally at the city I 'm in - they just have ' teams ' in areas |through| the country .
ewtb.r.391012.7:16	about	Topic	I 've spoken to vendors who are used by them who had nothing good to say |about| the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.391012.7:29	against	Beneficiary	I 've spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events |against| them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.391012.7:3	to	Recipient	I 've spoken |to| vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.391012.7:52	to	Purpose	I 've spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more |to| hurt their business than help them .
ewtb.r.391012.7:56	than	Scalar/Rank	I 've spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business |than| help them .
ewtb.r.391012.7:8	by	Agent	I 've spoken to vendors who are used |by| them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more to hurt their business than help them .
ewtb.r.392826.2:3	on	Topic	Hit or miss |on| the service .
ewtb.r.392826.4:2	for	Scalar/Rank	Pretty spendy |for| really not great quality
ewtb.r.394662.2:4	before	DeicticTime	I have been here |before| and the service was absoulutely great .
ewtb.r.394662.3:5	of	Species	They had a great selection |of| colors to choose from and their seats are super comfty .
ewtb.r.394662.3:7	to	Function	They had a great selection of colors |to| choose from and their seats are super comfty .
ewtb.r.394662.3:9	from	Theme	They had a great selection of colors to choose |from| and their seats are super comfty .
ewtb.r.394662.4:17	to	Purpose	I enjoy going there although i 've only been there once , i will be returning toda |to| recieve a pair of french tips and i will only go to the best and to me the best is here .
ewtb.r.394662.4:21	of	Quantity	I enjoy going there although i 've only been there once , i will be returning toda to recieve a pair |of| french tips and i will only go to the best and to me the best is here .
ewtb.r.394662.4:29	to	Destination	I enjoy going there although i 've only been there once , i will be returning toda to recieve a pair of french tips and i will only go |to| the best and to me the best is here .
ewtb.r.394662.4:33	to	Experiencer	I enjoy going there although i 've only been there once , i will be returning toda to recieve a pair of french tips and i will only go to the best and |to| me the best is here .
ewtb.r.395149.2:9	in	DeicticTime	I have used them once and will use them |in| the future .
ewtb.r.396046.1:10	downstairs	Location	Worst experience ever like a sardine can and the bartender |downstairs| is the rudest person I have ever met .
ewtb.r.396046.1:3	like	Comparison/Contrast	Worst experience ever |like| a sardine can and the bartender downstairs is the rudest person I have ever met .
ewtb.r.396874.2:5	from	InitialLocation	I spent 3 months going |from| shop to shop trying to get my Ferrari to run and drive the way it should .
