,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.346960.6:8,before,,,RelativeTime,,Time,,,,"If I had time to drive to Tacoma |before| they closed during the work week , I would just so I could get those boots fixed properly again ."
ewtb.r.351058.5:5,before,,,RelativeTime,,Time,,,,i waited another 30 mins |before| receiving my food and it was cold .
ewtb.r.363685.2:16,before,,,RelativeTime,,Time,,,,"I called the "" 207 "" number and listened to the same recording loop 3 times |before| I gave up ."
ewtb.r.364454.4:29,before,,,RelativeTime,,Time,,,,"Not only were my wife and I very pleased , but I also had the air duct quality tested professionally by the home inspector that I regularly use , |before| and after United Air Duct performed their work ."
ewtb.r.365154.10:6,before,,,RelativeTime,,Time,,,,I will be carefully researching vets |before| I take my dog someplace else .
ewtb.r.371300.3:11,before,,,RelativeTime,,Time,,,,You wo n't even have time to read the entire menu |before| being asked to order and if you ask for more time your server will wait at the table .
ewtb.r.372665.3:3,before,,,RelativeTime,,Time,,,,Glad I called |before| I arrived with my box to ship .
ewtb.r.398243.6:15,before,,,RelativeTime,,Time,,,,He checked out what I needed to have done told me what needed be fixed |before| he did any work and did great repair work .
ewtb.r.162567.4:27,beyond,,,DeicticTime,,Time,,,,"She has not only helped me through some challenging computer - work and sports related injuries , she was wonderful to work with throughout my pregnancy and |beyond| ."
ewtb.r.008585.6:18,by,,,RelativeTime,,Time,,,,They were back quickly considering how far outside of Murfreesboro we were and had us on our way |by| 6:30 that evening .
ewtb.r.039383.5:7,by,,,RelativeTime,,Time,,,,Half the tables and bar were empty |by| this point .
ewtb.r.093655.5:12,by,,,RelativeTime,,Time,,,,It took over 1.5 hours for our food to come out and |by| that time my 8 month old had it !
ewtb.r.170650.3:0,By,,,RelativeTime,,Time,,,,|By| the age of 24 I stopped going to the dentist .
ewtb.r.183172.2:9,by,,,RelativeTime,,Time,,,,"I went to get my nails filled Friday , |by| Monday 2 were broken ."
ewtb.r.229410.8:0,By,,,RelativeTime,,Time,,,,"|By| the time we got to the budget i told him I could work with , there was basically no design ."
ewtb.r.238839.4:15,by,,,RelativeTime,,Time,,,,"This place may have been something sometime ; but it way past it "" sell |by| date "" ."
ewtb.r.361545.6:9,by,,,RelativeTime,,Time,,,,Did n't hurt any that they knew my name |by| my second visit and greeted me warmly then and on my third visit .
ewtb.r.053248.22:8,circa,,,Time,,Time,,,,"When we arrived at 5 , and left |circa| 7 , there were the same 4 or 5 empty tables surrounding us ."
ewtb.r.010378.3:0,During,,,Duration,,Time,,,,"|During| the session , he demanded to have my physical address , which I 've always kept private as I am enrolled in a witness protection program ."
ewtb.r.010378.4:24,during,,,Duration,,Time,,,,"I believe he is correct in that he needs my physical address for legal reasons , however , he did not adequately explain this |during| our session ."
ewtb.r.059005.5:13,during,,,Duration,,Time,,,,I have never had a problem with their hours because I always go |during| the mornings .
ewtb.r.059416.4:7,during,,,Duration,,Time,,,,"The management was easy to deal with |during| the planning stages , and the execution by the kitchen and wait staff was flawless ."
ewtb.r.086839.13:3,during,,,Duration,,Time,,,,"At no time |during| the conversation did the words , "" I 'm sorry "" ever come out of his mouth ."
ewtb.r.093655.4:7,during,,,Duration,,Time,,,,"Today we went for a party ( |during| lunch , so the place was empty ) with about 25 other people ."
ewtb.r.103952.5:5,during,,,Duration,,Time,,,,"The service is great and |during| weekends it tends to get busy , but the wait is worthwhile ."
ewtb.r.134622.2:11,during,,,Duration,,Time,,,,"From the amount of time spent with us to explain things |during| the initial quote , to the communication through the approval process to the actual workmanship of the build itself ."
ewtb.r.281976.4:2,during,,,Duration,,Time,,,,"However , |during| the test , they did whatever they can to get my test failed ."
ewtb.r.330966.4:40,during,,,Duration,,Time,,,,"I have never considered this a real problem as I travel without kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM |during| my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it ."
ewtb.r.330966.4:54,during,,,Duration,,Time,,,,"I have never considered this a real problem as I travel without kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found out that the front desk was unmanned |during| night hours , my choice was to either waste tax payers money by calling for a yet another police dispatch to this hotel , or just get over it ."
ewtb.r.346960.6:11,during,,,Duration,,Time,,,,"If I had time to drive to Tacoma before they closed |during| the work week , I would just so I could get those boots fixed properly again ."
ewtb.r.368431.4:11,during,,,Duration,,Time,,,,"Luckily I live very close , so I can abuse it |during| week - ends ..."
ewtb.r.389298.2:12,during,,,Duration,,Time,,,,The door is easy to use and it keeps the cold out |during| the winter .
ewtb.r.008585.9:7,in,,,DeicticTime,in-future,Time,,,,I hope I can return the favor |in| the future !
ewtb.r.047891.2:3,in,,,DeicticTime,in-future,Time,,,,Will use again |in| the future .
ewtb.r.376320.9:7,in,,,DeicticTime,in-future,Time,,,,I will be traveling in this area |in| the future and you can be assured that this experience will be helpful in my choice of hotels and Novotel will be my first selection .
ewtb.r.395149.2:9,in,,,DeicticTime,in-future,Time,,,,I have used them once and will use them |in| the future .
ewtb.r.159485.1:0,In,,,DeicticTime,in-these-times,Time,,,,|In| this hard economic times is very important to save money Very reasonable prices top quality work The owner operator he does all the the work with Helpers very friendly I definitely recommend this this guys Do n't get jack by big companies that they pay a lot of money to be on top of the list Thanks
ewtb.r.109263.5:9,in,,,DeicticTime,,Time,,,,I am going to give it one last chance |in| next few months and see ??
ewtb.r.227515.3:5,in,,,Duration,,Time,,,,"I have had several dentists |in| my life , but Dr. Deters is by far my favorite ."
ewtb.r.016861.1:6,in,,,Time,,Time,,,,Stayed in the Seaview room here |in| December 2009 !
ewtb.r.020992.2:9,in,,,Time,,Time,,,,I was booked for 2 nights at this hotel |in| Oct 2007 .
ewtb.r.029230.5:33,in,,,Time,,Time,,,,"They also have the best tea I ever had , not at all like the junk you get at the grocery stores , I stock up when ever there because they are closed |in| the winter ."
ewtb.r.043020.2:11,in,,,Time,,Time,,,,B&B came out very quickly to give us our quote back |in| June .
ewtb.r.043020.4:5,in,,,Time,,Time,,,,"Our fence was installed quickly |in| August and they had their money and left saying "" Workmanship is guaranteed for a year ! "" ."
ewtb.r.049766.5:7,in,,,Time,,Time,,,,There were occasional bears on the deck |in| the morning .
ewtb.r.063347.4:19,in,,,Time,,Time,,,,"After a train ride over the mountains , we enjoyed hiking in the flower - filled Wenatchee hills ( |in| May ) and a very interesting bike ride in a loop around the Columbia River ... and then wine if we wanted it on the patio in the evening ...."
ewtb.r.063347.4:46,in,,,Time,,Time,,,,"After a train ride over the mountains , we enjoyed hiking in the flower - filled Wenatchee hills ( in May ) and a very interesting bike ride in a loop around the Columbia River ... and then wine if we wanted it on the patio |in| the evening ...."
ewtb.r.071518.6:5,in,,,Time,,Time,,,,I dropped the truck off |in| the morning and it was ready that afternoon .
ewtb.r.071650.2:4,in,,,Time,,Time,,,,When I originally joined |in| January I only did so because I was told I would be able to cancel the 12 month membership if I was to move away .
ewtb.r.086839.7:12,in,,,Time,,Time,,,,"So for the 4th time in 5 months and the third time |in| 2 weeks , we brought the car back again ."
ewtb.r.086839.7:5,in,,,Time,,Time,,,,"So for the 4th time |in| 5 months and the third time in 2 weeks , we brought the car back again ."
ewtb.r.093655.3:0,In,,,Time,,Time,,,,"|In| the past , I got a steak and there was more fat and rough pieces than there was good steak ( and this was the sirloin ! ) , the sides were drenched with butter and the salad was a little on the brown side ."
ewtb.r.121987.5:6,in,,,Time,,Time,,,,"The only problem that I had |in| 2 years of living there was that the walls are pretty thin , sometimes I could here my neighbors conversations ."
ewtb.r.128168.4:15,in,,,Time,,Time,,,,I was in two weeks ago and had the worst pedicure that I have had |in| my life .
ewtb.r.133601.3:10,in,,,Time,,Time,,,,"I wish I had you as my dentist early on |in| my life - maybe my teeth would have been a lot better then they are now , However I am glad you are my dentist now ."
ewtb.r.162422.9:7,in,,,Time,,Time,,,,"When I inquired he rudely replied "" |in| the morning when things are checked out you 'll get it back . """
ewtb.r.164805.10:14,in,,,Time,,Time,,,,"I have purchased over 15 vehicles ( cars , rvs , and boats ) |in| my lifetime and I have to say the experience with Michael and Barrett Motor Cars of San Antonio was one of the best ."
ewtb.r.186284.6:8,in,,,Time,,Time,,,,Thank you Ana I hope to see you |in| the future under better circumstances .
ewtb.r.216456.12:21,in,,,Time,,Time,,,,"I am sure this is a good place to stay from reading the other reviews , but if something unexpected happens |in| your life , they will not care ."
ewtb.r.221664.2:15,in,,,Time,,Time,,,,"I brought a car in to have the "" check engine "" light diagnosed back |in| March of 2010 ."
ewtb.r.238839.5:5,in,,,Time,,Time,,,,I have eaten here twice |in| the past year and will not go back and can not recommend it .
ewtb.r.247097.14:9,in,,,Time,,Time,,,,Now I feel more confident wearing my bathing suit |in| the summer .
ewtb.r.251755.2:13,in,,,Time,,Time,,,,Susanna is the best dress maker / tailor I 've ever come across |in| my whole life !
ewtb.r.255261.7:8,in,,,Time,,Time,,,,He had a robe that was made back |in| the '60s .
ewtb.r.257296.5:16,in,,,Time,,Time,,,,It is a great course for local golfers to be proud of and all the comments |in| 2008 have been very positive !!
ewtb.r.260640.2:10,in,,,Time,,Time,,,,I had a conversation with the woman running this place |in| April 2010 .
ewtb.r.263630.3:7,in,,,Time,,Time,,,,My boyfriend and I were woken up |in| the middle of the night at our campsite by drunken kids who 'd arrived around 1:00 am and were drinking at the springs .
ewtb.r.263630.6:24,in,,,Time,,Time,,,,"Not only that , but he told us , via his manager , that it was our responsibility to get up a second time |in| the middle of the night and call the night staff if the problem continued , even though his manager did nothing the first time to stop the kids ."
ewtb.r.280663.9:20,in,,,Time,,Time,,,,"I am a music junkie that grew up in the 80's , and my dad worked for a record label |in| the 1960's ."
ewtb.r.280663.9:8,in,,,Time,,Time,,,,"I am a music junkie that grew up |in| the 80's , and my dad worked for a record label in the 1960's ."
ewtb.r.288100.2:6,in,,,Time,,Time,,,,"I began seeing Dr. Romanick back |in| 2000 and have seen a significant decline in the quality of care , patient - doctor communication , and just the overall level of services ."
ewtb.r.288930.3:24,in,,,Time,,Time,,,,Try the 360 restraunt u spin in the cn tower with a beautiful view the sky pod elevator is about an hour line up |in| the summer
